,interact,IDImp,commonout,commgoal,size,asc,perm,acq,similar,bioesst,indpoten,entity,stability,duration,mutint,RMT_CS,RMT_AR,RMT_EM,RMT_MP
feminists,4.270440252,5.259493671,3.383647799,5.103225806,4.563291139,2.716049383,2.993589744,4.987179487,4.56969697,2.769230769,4.148387097,4.614906832,3.98757764,4.585365854,3.191358025,4.184210526,3.850931677,3.802547771,3.6
students,4.549382716,4.229813665,3.496932515,4.961038961,5.467532468,3.225609756,3.06,5.435294118,3.938650307,2.075949367,3.431137725,4.103225806,2.777777778,5.608433735,2.65497076,3.909638554,3.857142857,4.208588957,4.439759036
christians,4.217948718,5.455128205,3.621794872,4.508982036,5.732919255,2.630573248,3.535031847,4.938271605,4.668789809,2.668639053,4.069620253,4.625,4.347058824,5.913294798,2.936708861,4.299363057,4.326666667,3.90625,3.72972973
democrats,4.225,4.864516129,3.360759494,5.049382716,5.418918919,2.515337423,2.909090909,4.767123288,4.363013699,2.121212121,4.167701863,4.355704698,3.777777778,4.89375,2.942307692,3.882352941,4.477124183,3.775,3.809859155
repubs,3.909677419,5.206060606,3.566878981,4.79245283,5.25170068,2.519480519,3.051612903,4.676829268,4.642384106,2.450704225,4.266666667,4.292517007,3.64516129,4.786666667,3.007042254,3.173333333,4.923529412,3.42,4.463414634
rich,4.060810811,4.9375,4.262820513,4.62,3.150326797,3.447852761,3.290322581,4.943396226,4.479289941,2.857142857,4.068322981,4.076923077,4.00617284,6.14375,3.006289308,2.987730061,3.895705521,3.047619048,4.676829268
poor,3.55625,3.405797101,4.06,4.21656051,5.538922156,4.506493506,5.523489933,3.574193548,3.940789474,2.55,3.290697674,3.487804878,3.559006211,6.125827815,2.170886076,3.858895706,2.670454545,3.391304348,3.393333333
midclass,3.6,4.173076923,3.84939759,4.401315789,5.234482759,3.987179487,4.512195122,5.269461078,4.082802548,2.601265823,3.398648649,3.763888889,4.111111111,5.258278146,2.394904459,3.62987013,2.950310559,3.886227545,4.152866242
workclass,4.056603774,4.226415094,3.847058824,4.470967742,5.945454545,4.189542484,4.920731707,4.841772152,3.921052632,2.53164557,3.379746835,3.897435897,3.901840491,5.696774194,2.558282209,3.615384615,3.451807229,3.970238095,4.345679012
asian,3.875,4.860606061,3.520231214,3.857142857,5.943396226,6.196428571,5.886792453,2.161971831,4,5.966666667,3.197530864,4.154761905,6.254545455,6.2875,2.728395062,3.43537415,3.129032258,3.570512821,3.569620253
white,3.662162162,4.561290323,3.576923077,3.315436242,6.012903226,5.802721088,5.575163399,2.187096774,3.728395062,5.94011976,3.298136646,3.765822785,6.344155844,6.254545455,2.986666667,3.382550336,3.512345679,3.259493671,3.803571429
black,3.929411765,5.270440252,3.455696203,3.904191617,5.480519481,6.013793103,6.018987342,2.287581699,3.888888889,6.127388535,3.071428571,4.171974522,6.323170732,6.55,2.810457516,3.935672515,3.013333333,3.684210526,3.36809816
hispanic,4.078787879,4.993506494,3.505952381,4,5.72392638,5.948387097,5.692307692,2.34591195,3.938271605,5.825,3.217391304,4.277777778,6.108974359,6.138157895,2.679245283,3.903225806,3.102409639,3.796178344,3.379084967
