group,interact,Idimp,commonout,commongoal,size,asc,acq,impermeable,similar,bioesst,indpoten,entity,stability,duration,mutint,RMT_CS,RMT_AR,RMT_EM,RMT_MP
family,5.795918367,5.677083333,4.3,4.344444444,3.456521739,5.712765957,3.852631579,6.107526882,4.978494624,6.252631579,4.375,5.527472527,6.229166667,5.90625,4.677083333,5.5,5.193548387,4.488636364,4.054347826
supportgroup,5.354166667,4.845360825,3.989795918,5.397849462,3.829787234,3.233333333,5.0625,3.663043478,4.880434783,2.783505155,4.626373626,5.043010753,3.373626374,4.115789474,4.042553191,5.114583333,4.412371134,4.917525773,3.978947368
romrel,5.903225806,5.284210526,4.136842105,5.24,2.516129032,2.817204301,5.548387097,4.510416667,4.742268041,3.087912088,4.323232323,5.6,3.815217391,4.893617021,6.265957447,5.852631579,3.935483871,5.35106383,4.536842105
friends,5.989010989,5.329787234,3.924731183,4.354166667,3.694736842,3.287234043,5.127659574,4.612903226,5.042105263,3.166666667,4.784946237,5.463157895,4.25,5.20212766,5.5,5.542553191,3.9375,4.757894737,4.117021277
gang,5.030927835,5.175257732,4.778947368,4.861702128,3.695652174,3.442105263,4.623655914,5.302083333,4.885416667,3.315789474,4.268817204,5.092783505,3.817204301,4.178947368,5.610526316,4.833333333,5.893617021,3.808510638,4.381443299
orchestra,4.946236559,4.535353535,3.711111111,5.421052632,4,3.178947368,5.520833333,3.416666667,4.056179775,2.431578947,3.88172043,5.406593407,3.184782609,4.479166667,3.895833333,4.087912088,5.522222222,4.968421053,4.447916667
sportsteam,5.765957447,5.206521739,3.765957447,5.785714286,4,3.102040816,5.731182796,3.619565217,4.536082474,2.915789474,4.25,5.458333333,3.510638298,4.778947368,4.478723404,5.031914894,5.402173913,5.2,5.043010753
rockband,5.587628866,5.177083333,4.113402062,5.456521739,2.489361702,2.925531915,4.882978723,3.64516129,4.621052632,2.186813187,4.43877551,5.3125,3.010752688,4.265957447,5.822916667,5.15625,4.729166667,4.736842105,4.378947368
polish,3.717391304,5.154639175,3.408602151,3.385416667,6,4.78125,4.147368421,4.563829787,3.731958763,4.755555556,3.553191489,3.968421053,5.263157895,6,2.957446809,3.569892473,4.365591398,3.515463918,3.768421053
americans,3.563829787,5.252631579,2.948453608,3.494736842,6.284210526,4.734042553,5.010638298,4.483870968,3.397849462,3.822916667,3.542553191,3.706521739,5.22826087,5.824175824,3.191489362,3.357894737,4.4375,3.346938776,4.157894737
women,4.031914894,5.627659574,3.361702128,3.78125,6.478723404,5.8,3.022222222,5.642105263,3.838709677,5.693181818,3.182795699,4.184782609,5.787234043,6.225806452,2.726315789,4.031914894,3.540816327,3.788888889,3.788888889
blacks,4.090909091,5.538461538,3.459183673,3.670212766,6.229166667,6.043478261,2.79787234,5.947368421,3.88172043,5.904255319,3.402061856,4.239583333,6.239583333,6.222222222,3.117021277,4.157894737,3,3.625,3.206521739
jews,4.229166667,5.510869565,3.646464646,4.270833333,6,4.776595745,3.230769231,5.272727273,4.425531915,4.901098901,3.784946237,4.852631579,5.589473684,6.347368421,3.347826087,4.117021277,3.308510638,3.462365591,3.872340426
doctors,4.5625,5.274725275,4.125,5.404255319,5.322580645,2.714285714,5.680851064,4.204081633,4.483870968,3.031578947,4.285714286,4.602040816,4.458333333,5.680851064,4,4.260869565,4.231578947,4.212765957,4.585106383
flightcrew,5.65625,3.778947368,4.053191489,5.22826087,3.229166667,2.893617021,5.410526316,3.47826087,3.831578947,2.301075269,3.416666667,4.892473118,2.978723404,3.946808511,3.760869565,4.032258065,5.123595506,5.053763441,3.691489362
compcomm,5.030927835,4.147368421,3.923913043,5.276595745,3.715789474,3.031578947,5.587628866,3.808510638,3.989473684,2.449438202,3.591397849,4.778947368,2.755319149,4.032258065,4.989247312,3.978494624,5.789473684,4.864583333,4.838709677
projcoworker,5.52688172,3.376344086,4,5.456521739,3.191489362,4.505263158,4.760869565,4.673469388,3.876404494,2.305263158,3.532608696,4.778947368,2.536842105,3.627659574,4.063829787,4.388888889,5.105263158,5.680412371,5.105263158
jury,4.979166667,2.806451613,3.202247191,4.630434783,3.010989011,4.914893617,3.542553191,4.535353535,2.815217391,2.416666667,2.989690722,3.989473684,2.563829787,3.247311828,3.395604396,3.35106383,4.134020619,4.46875,3.537634409
play,5.368421053,4.505376344,3.587628866,5.456521739,3.617021277,3.229166667,5.306122449,3.378947368,4.031578947,2.453608247,3.585106383,5.09375,2.580645161,3.88172043,4.260416667,4.494949495,4.835051546,4.64516129,4.52688172
studcomm,5.054347826,4.234042553,3.552083333,5.25,3.870967742,2.977777778,5.563829787,3.144329897,4.204301075,2.5,4.170212766,4.873684211,2.436170213,4.138297872,4.755319149,3.894736842,5.40625,4.968085106,4.397849462
enviro_org,4.71875,4.677083333,3.6,5.715789474,4.136842105,3.107526882,5.387755102,3.252631579,4.649484536,2.547368421,4.285714286,5.131868132,3.03125,4.15625,3.948979592,4.25,4.915789474,4.945652174,4.053763441
studexam,4.042105263,3.316326531,3.574468085,5.778947368,4.086021505,3.457446809,5.227272727,3.483870968,4.189473684,2.268041237,3.627659574,4.436170213,2.395833333,4.145833333,3.53125,3.741935484,3.595744681,4.010989011,5.182795699
waiters,5.239130435,3.494382022,3.411111111,4.52173913,3.473684211,3.104166667,5.191489362,3.107526882,3.515789474,2.510416667,3.597826087,4.397849462,2.606060606,3.913978495,3.621052632,3.557894737,4.741935484,5.021276596,4.760416667
unisocialclub,5.21875,4.472527473,3.554347826,4.694736842,4.084210526,2.770833333,5.217391304,3.032258065,4.576086957,2.326086957,4.397849462,4.760416667,3.010526316,4.129032258,4.712765957,4.043010753,5.150537634,4.64893617,4.440860215
dinnertogether,5.442105263,3.364583333,3.391304348,4.610526316,2.865979381,2.89010989,4.677419355,3.127659574,4.136842105,3.107526882,3.875,4.752688172,2.478723404,3.93814433,5,4.431578947,3.617021277,4.278350515,3.958333333
roomates,5.690721649,3.35483871,3.354166667,4,2.304347826,3.306122449,4.688888889,3.436170213,3.824742268,2.446808511,3.967741935,4.67032967,2.336956522,3.822916667,5.589473684,4.527472527,3.84375,5.2,4.418367347
busstopline,2.694736842,2.376344086,2.744444444,3.698924731,2.948453608,3.589473684,3.64893617,2.010869565,2.757894737,2.107526882,2.479591837,2.739583333,2.430107527,2.923076923,2.436170213,2.457446809,2.395604396,2.815217391,3.14893617
bankline,2.72826087,2.673684211,2.806451613,4.287234043,3.082474227,3.225806452,3.778947368,2.257731959,2.870967742,2.127659574,2.630434783,2.635416667,2.221052632,2.907216495,2.381443299,2.35483871,2.773195876,2.739583333,3.549450549
movieaudience,2.793478261,2.436170213,2.635416667,3.949494949,3.868131868,2.842105263,4.071428571,2.319587629,2.85106383,2.241758242,2.536842105,3.081632653,2.221052632,2.836956522,2.273684211,2.494736842,2.5,2.708333333,3.086021505
neighbors,4.031914894,3.410526316,3.5,3.333333333,4.510416667,3.778947368,4.892473118,3.621052632,3.757894737,2.680851064,3.967741935,3.958762887,3.666666667,4.768421053,2.894736842,3.87628866,3.147368421,3.527472527,3.577777778
students,4.073684211,4.958333333,3.35483871,4.787234043,5.552083333,3.340659341,5.489583333,3.543478261,3.536842105,2.543478261,3.894736842,4.107526882,2.946236559,4.690721649,2.642105263,3.255319149,3.628865979,3.946808511,4.85106383
studclass,4.494505495,3.52688172,3.410526316,4.731958763,3.892473118,3.897959184,4.969387755,3.431578947,3.635416667,2.329896907,3.578947368,4.129032258,2.322580645,3.553191489,2.958762887,3.525773196,3.8,4.191489362,4.783505155
retired,4.340425532,3.447916667,4.479591837,4.107526882,4.608695652,4.302083333,4.051546392,4.808510638,4.119565217,3.402173913,3.604166667,3.989473684,3.105263158,4.520833333,2.894736842,3.595744681,3.117021277,3.375,3.333333333
likesclassical,3.4375,3.82,3.173913043,3.846153846,5.182795699,3.258064516,4.224719101,2.694736842,4.063157895,2.929292929,3.967032967,3.645833333,3.907216495,4.905263158,2.347368421,2.875,2.557894737,2.956521739,2.968421053
